2026-09-21 15:16:29,511 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.20s
2026-09-21 15:16:31,706 - Model=SVR | Resp=ohs | Time=2.20s
2026-09-21 15:16:53,817 - Model=XGBoost | Resp=ohs | Time=22.11s
2026-09-21 15:17:17,974 - Model=CatBoost | Resp=ohs | Time=24.16s
2026-09-21 15:17:28,323 - Model=LightGBM | Resp=ohs | Time=10.35s
2026-09-21 15:17:29,516 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.19s
2026-09-21 15:17:31,695 - Model=SVR | Resp=ohs | Time=2.18s
2026-09-21 15:17:53,807 - Model=XGBoost | Resp=ohs | Time=22.11s
2026-09-21 15:18:17,991 - Model=CatBoost | Resp=ohs | Time=24.18s
2026-09-21 15:18:28,678 - Model=LightGBM | Resp=ohs | Time=10.69s
2026-09-21 15:18:29,903 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.23s
2026-09-21 15:18:32,148 - Model=SVR | Resp=ohs | Time=2.24s
